7101,RIU PALACE ZANZIBAR,TZ,Zanzíbar,ZNZ
7102,RIU JUMBO,TZ,Zanzíbar,ZNZ
7201,RIU BAOBAB,SN,Pointe Sarène,DSS
7501,RIU KARAMBOA,CV,Boavista,BVC
7502,RIU PALACE BOAVISTA,CV,Boavista,BVC
7503,RIU TOUAREG,CV,Boavista,BVC
7601,RIU FUNANA,CV,Isla de Sal,SID
7602,RIU CABO VERDE,CV,Isla de Sal,SID
7603,RIU PALACE SANTA MARIA,CV,Isla de Sal,SID
7701,RIU TIKIDA BEACH,MA,Agadir,AGA
7702,RIU TIKIDA DUNES,MA,Agadir,AGA
7703,RIU PALACE TIKIDA AGADIR,MA,Agadir,AGA
7704,RIU TIKIDA DALIA,MA,Marrakech,RAK
7705,RIU TIKIDA PALMERAIE,MA,Marrakech,RAK
7706,RIU PALACE TIKIDA TAGHAZOUT,MA,Taghazout,AGA
7801,RIU PALACE HAMMAMET,TN,Hammamet,NBE
7802,RIU MARCO POLO,TN,Hammamet,NBE
7803,RIU BELLEVUE PARK,TN,Port El Kantaoui,MIR
7804,RIU IMPERIAL MARHABA,TN,Port El Kantaoui,MIR
7805,RIU GREEN PARK,TN,Port El Kantaoui,MIR
8101,RIU PLAZA CHICAGO,US,Chicago,ORD
8201,RIU PLAZA TORONTO,CA,Toronto,YYZ
9101,RIU KAYAH MOUNTAIN RESORT,MM,Loikaw,LIW
