"RO", "SOLO ALOJAMIENTO", "RO"
"HB", "MEDIA PENSIÓN", "HB"
"FB", "PENSIÓN COMPLETA", "FB"
"AI", "TODO INCLUIDO", "AI"
"BB", "ALOJAMIENTO Y DESAYUNO", "BB"
